date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:00	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jun%202020%2015:01:00%20GMT	https://fahadhossain.com/robots.txt		(from )
21:01:05	24380/24380	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202020%2020:33:14%20GMT	https://fahadhossain.com/	N:/JavaWithMost/test/fahadhossain.com/index.html	(from )
21:01:12	8420/8420	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2005:33:24%20GMT	https://fahadhossain.com/assets/img/goku_hair_grande.png	N:/JavaWithMost/test/fahadhossain.com/assets/img/goku_hair_grande.png	(from https://fahadhossain.com/)
21:01:13	6272/6272	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2005:31:20%20GMT	https://fahadhossain.com/assets/img/images.png	N:/JavaWithMost/test/fahadhossain.com/assets/img/images.png	(from https://fahadhossain.com/)
21:01:16	160403/160403	---M--	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2015:09:30%20GMT	https://fahadhossain.com/assets/vendor/bootstrap/css/bootstrap.min.css	N:/JavaWithMost/test/fahadhossain.com/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://fahadhossain.com/)
21:01:17	92208/92208	---M--	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2015:09:32%20GMT	https://fahadhossain.com/assets/vendor/icofont/icofont.min.css	N:/JavaWithMost/test/fahadhossain.com/assets/vendor/icofont/icofont.min.css	(from https://fahadhossain.com/)
21:01:25	3351/3351	---M--	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2015:09:32%20GMT	https://fahadhossain.com/assets/vendor/owl.carousel/assets/owl.carousel.min.css	N:/JavaWithMost/test/fahadhossain.com/assets/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://fahadhossain.com/)
21:01:27	104609/104609	---M--	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2015:09:32%20GMT	https://fahadhossain.com/assets/vendor/remixicon/remixicon.css	N:/JavaWithMost/test/fahadhossain.com/assets/vendor/remixicon/remixicon.css	(from https://fahadhossain.com/)
21:01:27	61773/61773	---M--	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2015:09:32%20GMT	https://fahadhossain.com/assets/vendor/boxicons/css/boxicons.min.css	N:/JavaWithMost/test/fahadhossain.com/assets/vendor/boxicons/css/boxicons.min.css	(from https://fahadhossain.com/)
21:01:28	20309/20309	---M--	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2015:09:32%20GMT	https://fahadhossain.com/assets/vendor/venobox/venobox.css	N:/JavaWithMost/test/fahadhossain.com/assets/vendor/venobox/venobox.css	(from https://fahadhossain.com/)
21:01:29	21544/21544	---M--	200	added ('OK')	text/css	date:Fri,%2022%20May%202020%2008:23:22%20GMT	https://fahadhossain.com/assets/css/style.css	N:/JavaWithMost/test/fahadhossain.com/assets/css/style.css	(from https://fahadhossain.com/)
21:01:30	24380/24380	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202020%2020:33:14%20GMT	https://fahadhossain.com/index.html	N:/JavaWithMost/test/fahadhossain.com/index-2.html	(from https://fahadhossain.com/)
21:01:34	189929/189929	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2005:57:04%20GMT	https://fahadhossain.com/assets/img/fahad-me-1.png	N:/JavaWithMost/test/fahadhossain.com/assets/img/fahad-me-1.png	(from https://fahadhossain.com/)
21:01:34	51722/51722	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:33:24%20GMT	https://fahadhossain.com/assets/img/obayed.png	N:/JavaWithMost/test/fahadhossain.com/assets/img/obayed.png	(from https://fahadhossain.com/)
21:01:36	68788/68788	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:33:22%20GMT	https://fahadhossain.com/assets/img/tanzil.png	N:/JavaWithMost/test/fahadhossain.com/assets/img/tanzil.png	(from https://fahadhossain.com/)
21:01:42	17247/17247	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20May%202020%2015:09:30%20GMT	https://fahadhossain.com/assets/img/testimonials/testimonials-3.jpg	N:/JavaWithMost/test/fahadhossain.com/assets/img/testimonials/testimonials-3.jpg	(from https://fahadhossain.com/)
21:01:46	4468/4468	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2015:09:32%20GMT	https://fahadhossain.com/portfolio-details.html	N:/JavaWithMost/test/fahadhossain.com/portfolio-details.html	(from https://fahadhossain.com/)
21:01:54	597131/597131	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2020:14:22%20GMT	https://fahadhossain.com/assets/img/New%20folder/Screenshot%20(830).png	N:/JavaWithMost/test/fahadhossain.com/assets/img/New%20folder/Screenshot%20(830).png	(from https://fahadhossain.com/)
21:02:13	2893320/2893320	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2020:31:54%20GMT	https://fahadhossain.com/assets/img/New%20folder/Screenshot%20(832).png	N:/JavaWithMost/test/fahadhossain.com/assets/img/New%20folder/Screenshot%20(832).png	(from https://fahadhossain.com/)
21:02:15	1239989/1239989	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2019:42:42%20GMT	https://fahadhossain.com/assets/img/New%20folder/Screenshot%20(829).png	N:/JavaWithMost/test/fahadhossain.com/assets/img/New%20folder/Screenshot%20(829).png	(from https://fahadhossain.com/)
21:02:20	56268/56268	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20May%202020%2015:09:30%20GMT	https://fahadhossain.com/assets/img/portfolio/portfolio-4.jpg	N:/JavaWithMost/test/fahadhossain.com/assets/img/portfolio/portfolio-4.jpg	(from https://fahadhossain.com/)
21:02:25	83170/83170	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20May%202020%2015:09:30%20GMT	https://fahadhossain.com/assets/img/portfolio/portfolio-5.jpg	N:/JavaWithMost/test/fahadhossain.com/assets/img/portfolio/portfolio-5.jpg	(from https://fahadhossain.com/)
21:02:26	6349481/6349481	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2020:21:24%20GMT	https://fahadhossain.com/assets/img/New%20folder/3.png	N:/JavaWithMost/test/fahadhossain.com/assets/img/New%20folder/3.png	(from https://fahadhossain.com/)
21:02:45	1861696/1861696	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2020:28:12%20GMT	https://fahadhossain.com/assets/img/New%20folder/Screenshot%20(831).png	N:/JavaWithMost/test/fahadhossain.com/assets/img/New%20folder/Screenshot%20(831).png	(from https://fahadhossain.com/)
